date,people_vaccinated
2021-10-12,3349439
2021-10-13,2281386
2021-10-14,1166491
2021-10-15,1281332
2021-10-16,575975
2021-10-17,1544248
2021-10-18,1102560
2021-10-19,3501378
2021-10-20,5705937
2021-10-21,3705798
2021-10-22,2852557
2021-10-23,1679543
2021-10-24,3592177
2021-10-25,767831
2021-10-26,2704943
2021-10-27,2275780
2021-10-28,2208541
2021-10-29,3566482
2021-10-30,2612109
2021-10-31,1730733
2021-11-01,2037639
2021-11-02,866207
2021-11-03,2055375
2021-11-04,855851
2021-11-05,236238
2021-11-06,774356
2021-11-07,842260
2021-11-08,1539500
2021-11-09,1234226
2021-11-10,1612863
2021-11-11,1274981
2021-11-12,2307238
2021-11-13,2302145
2021-11-14,1180613
2021-11-15,1270585
2021-11-16,2119881
2021-11-17,2198918
2021-11-18,2280679
2021-11-19,1636999
2021-11-20,3195562
2021-11-21,1623177
2021-11-22,2608531
2021-11-23,2619157
2021-11-24,2860722
2021-11-25,1439479
2021-11-26,4035094
2021-11-27,524738
2021-11-28,3572179
2021-11-29,1707475
2021-11-30,2698799
2021-12-01,2572347
2021-12-02,2901770
2021-12-03,1755510
2021-12-04,3461701
2021-12-05,1671851
2021-12-06,1476684
2021-12-07,2510537
2021-12-08,2350954
2021-12-09,2386956
2021-12-10,1301486
2021-12-11,3944006
2021-12-12,1320252
2021-12-13,1199310
2021-12-14,3056350
2021-12-15,1581743
2021-12-16,905385
2021-12-17,2080152
2021-12-18,1837282
2021-12-19,951123
2021-12-20,900274
2021-12-21,1922654
2021-12-22,621352
2021-12-23,1501826
2021-12-24,1472083
2021-12-25,2340951
2021-12-26,215553
2021-12-27,1023876
2021-12-28,1777309
2021-12-29,2219977
2021-12-30,905343
2021-12-31,2419808
2022-01-01,1335170
2022-01-02,689535
2022-01-03,4905665
2022-01-04,5217549
2022-01-05,6677905
2022-01-06,6622289
2022-01-07,8536349
2022-01-08,1305651
2022-01-09,5273368
2022-01-10,3255737
2022-01-11,6392220
2022-01-12,2858224
2022-01-13,4328361
2022-01-14,1048141
2022-01-15,3918584
2022-01-16,2380694
2022-01-17,2166091
2022-01-18,15777
2022-01-19,6491695
2022-01-20,3027610
2022-01-21,3412936
2022-01-22,2633157
2022-01-23,1838313
2022-01-24,388276
2022-01-25,2246613
2022-01-26,1862280
2022-01-27,826058
2022-01-28,1812178
2022-01-29,1538644
2022-01-30,2110035
2022-01-31,2272008
2022-02-01,1721706
2022-02-02,1509707
2022-02-03,1082045
2022-02-04,1376277
2022-02-05,1591526
2022-02-06,904202
2022-02-07,50639
2022-02-08,1414463
2022-02-09,1578955
2022-02-10,56435
2022-02-11,2050316
2022-02-12,683896
2022-02-13,985165
2022-02-14,429270
2022-02-15,1139815
2022-02-16,489757
2022-02-17,930354
2022-02-18,671536
2022-02-19,589681
2022-02-20,333307
2022-02-21,350547
2022-02-22,550167
2022-02-23,324324
2022-02-24,462830
2022-02-25,513864
2022-02-26,517670
2022-02-27,195140
2022-02-28,202272
2022-03-01,189883
2022-03-02,201991
2022-03-03,383042
2022-03-04,301720
2022-03-05,343645
2022-03-06,125528
2022-03-07,181543
2022-03-08,264873
2022-03-09,220993
2022-03-10,207511
2022-03-11,299842
2022-03-12,140153
2022-03-13,144066
2022-03-14,190185
2022-03-15,169232
2022-03-16,183695
2022-03-17,726874
2022-03-18,515099
2022-03-19,543724
2022-03-20,360945
2022-03-21,1380741
2022-03-22,1530766
2022-03-23,2624234
2022-03-24,2273113
2022-03-25,1198687
2022-03-26,2252177
2022-03-27,502938
2022-03-28,860503
2022-03-29,786860
2022-03-30,2174722
2022-03-31,1834110
2022-04-01,673053
2022-04-04,1517247
2022-04-05,732547
2022-04-06,958990
2022-04-07,697536
2022-04-08,550043
2022-04-09,666003
2022-04-10,297829
2022-04-11,346955
2022-04-12,810477
2022-04-13,373800
2022-04-14,463345
2022-04-15,103507
2022-04-18,792807
2022-04-19,564084
